 confidence, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,Filename
0.975,0.83,0,0,0.36,0,0.39,0,0,0,0.17,0.8,0,1.43,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,Training_29989424.csv 
0.925,1.37,0.98,0,0.5,0,0,0,0.27,0,0.59,0.33,0.37,0,0,0,0.85,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,Training_30082928.csv 
0.825,0.95,0.83,0.46,0.55,0,0,0,0.27,0.32,1.09,0,0.07,0.25,0,0.13,0.44,0.31,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,Training_301018.csv 
0.875,1.96,0,0.25,0,0.36,0.38,0,0.8,0.72,0.5,0.29,0,0.71,0,1.31,0.01,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,Training_3014074.csv 
0.875,0.27,0,1.79,0,0,1.19,0.21,0,0,0.07,0.73,0.56,0.67,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,Training_303571.csv 
0.925,0.74,0,1.22,0,0,0,0,0,0,0,0.37,0.39,0,0.07,0,0.16,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Training_30419445.csv 
0.875,2.08,1.62,1.38,2.2,0,0,0,0,0,0.65,0.36,0.65,0.19,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,Training_30468726.csv 
0.875,0.22,0,0,0.12,0,0,0.05,0,0,0,0.74,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,Training_30520520.csv 
0.875,0,0.03,0,2.6,0.11,0,0,0.77,0,0.12,0.69,0.77,0.24,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,Training_30532479.csv 
0,2.1,0,0,1.48,1.27,0.21,2.12,3.02,0.23,0.53,0.01,0.36,1.39,0,0.16,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,Training_30563015.csv 
0,0.57,0,0,1.63,0,0.05,0.35,0,0,0,0.57,0.07,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,Training_30584470.csv 
0.875,0,0,0,0.16,0,0,0,0,0,1.81,1.59,0,0.61,0,0.39,0.61,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,Training_30636432.csv 
0.875,2.22,2.11,0,2.38,0.08,0,0.1,1.02,0,0,0.22,0,1.97,0,0.06,0.8,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,Training_30795984.csv 
0.875,1.09,0.94,0,1.87,0,0,0,0,0,0,0.35,0,0.32,0,0,0.19,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,Training_30814221.csv 
0.975,1.58,0.55,0.19,1.26,0,0,0.01,0,0,0.67,0.39,0,0.2,0,0.81,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,Training_30845774.csv 
0.875,1.25,1.28,0,4.28,0,0,0,0,0,0,0.52,0,0.5,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Training_308765.csv 
0.875,1.57,0,1.8,0.38,0.81,1.34,0.04,1.05,0,0.02,0.46,0,1.5,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,Training_30944314.csv 
0,0.66,0,0,2.46,0.98,0.53,0.45,0.8,0.04,0,0.88,0.33,1.58,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,Training_30944761.csv 
0,1.24,0,0,0.57,0,0.78,0,0,0,0,0.88,0,0.52,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Training_30962418.csv 
0.875,0.66,0,0,0,0.02,0.83,0,0,0,0.24,0.08,0.23,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Training_31003862.csv 
0.875,0.37,0.11,0,0.33,0,0.13,0,0,0,0.44,0.24,0,0,0.25,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,Training_31032689.csv 
0.525,1.77,1.32,0,2.25,0,0,0,0.69,0,0,0.18,0,1.16,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,Training_31039042.csv 
0.975,0.93,0,2.08,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.04,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Training_31094188.csv 
0.875,0.47,0,1.04,0.54,0,0,0,0.57,0,1.24,0.32,0,0.65,0,0,1.41,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,Training_31180605.csv 
0.875,0.84,0.39,0,0.17,0,0,0,0,0.51,0,0,0,0.3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Training_31312492.csv 
0.875,2.01,0.88,0,2.34,0.47,1.43,0,0.12,0.02,0.38,0.28,0,2.65,0.4,0.16,0.55,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,Training_31447057.csv 
0,0,0,2.32,0.53,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Training_31501611.csv 
0.875,0.17,0,0,0,0,0,0.2,0,0,0,0.16,0.27,0,0,0.11,3.24,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,Training_31528800.csv 
0.875,0.51,0.09,0,2.13,0.19,0,0.78,1.34,0.46,0,0.12,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,Training_31560725.csv 
0.875,1.09,0.94,0,1.87,0,0,0,0,0,0,0.35,0,0.32,0,0,0.19,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,Training_31579984.csv 
0.925,1.75,0.65,0,0.38,0,0,0,0,0.11,0.08,0.7,0,1.84,0,0.58,0.63,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,Training_3158195.csv 
0.875,1.18,0.45,0,0.47,0,0.72,0,1.73,0.8,0,0.06,1.3,0.99,0,0.03,0.03,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,Training_31603340.csv 
0.875,1.25,0.64,0,0.03,0,0,0,0,0.39,0,0.52,0,0.76,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,Training_31622424.csv 
0.875,0.33,0,0,3.21,0,0,0,0,0.06,0,0.45,0,0.89,0.38,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,Training_31650099.csv 
0.875,0.69,0,0,1.24,0,0,0,0,0,0,0.08,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Training_31650438.csv 
0.925,0,0,1.05,0,0,0.24,0.88,0.49,0,0.82,0,0.69,0,0,0,0.65,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,Training_31677107.csv 
0.975,0,0,1.21,0.96,0,0.83,1.49,0.61,0,0.82,0.46,0,0.63,0,0.53,0.45,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,Training_31840472.csv 
0.975,0.43,0,0,0,0,2.14,0,0.7,0.41,0,0,0,0.31,0,0.22,0.3,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,Training_31841601.csv 
0.825,0.31,0,0.23,0.14,0,0,0,0,0,0.26,0,0,0,0,0.37,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,Training_31858383.csv 
0.675,0,0.15,0,0.9,0,0,1.34,0.95,0.17,0.63,0,0,0.53,0,0.4,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Training_3188278.csv 
0.875,0.88,0.03,2,0,1.48,3.22,0.88,0,0,0.84,0,0,0,0.85,0,0,0.43,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,Training_31953136.csv 
0,0.71,0,0.85,0,2.26,2.39,2.4,1.63,1.26,1.47,1.15,0,1.67,0.04,0.62,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,Training_32010041.csv 
0.925,1.49,0,0,0.32,0,0.09,0.24,0.34,0,1.49,0.35,0,0.33,0.68,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,Training_32128390.csv 
0.975,1.17,0,0,0,0,0,0,0,0,0.68,0,0,0,0.42,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,Training_32147457.csv 
0.975,0,0,0,0,0.63,0.94,0.47,0,0,0.45,1.29,0,0.43,0,0,1,0.26,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,Training_32212169.csv 
0.875,0.08,0.07,0,1.2,0,0.34,0,0,0,0.31,0.17,0.12,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Training_32230987.csv 
0.675,1.06,0.19,0,0.37,0.3,0.93,0,1.37,0.35,0,0.33,1.23,0.03,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Training_32347187.csv 
0.875,1.81,1.15,0,2.5,0,0,0,0,0.17,0.06,0,0,0.81,0.09,0,0.75,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,Training_32527288.csv 
0.875,1.82,1.85,0,0.66,0.72,1.65,1.01,0,0,0.14,0,0.52,0.57,0,0.17,2.19,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,Training_32561808.csv 
0.875,1.22,0,0.6,1.08,0,0,0,0,0,0.42,0,0,0.77,0,0.11,0.6,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,Training_3257346.csv 
0,1.54,0.29,0,1.27,0,0,0,0,0,0,0.59,0.52,0.8,0.25,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,Training_32595654.csv 
0,0,0,0,0.55,1.2,1.03,0.26,0,0,0,0.05,0,1.05,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,Training_32677177.csv 
0.875,1.8,0.93,0.45,0.61,0,0,0,0,0,1.12,0.99,1.22,0,1.6,0,0.4,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,Training_3270983.csv 
0.775,0,0,0,0.24,1.96,1.82,0.47,0.38,0.72,0.98,0,0,2.69,0.7,0.45,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,Training_32735149.csv 
0.975,0.16,0,0,0.12,0.7,0,0.48,0.35,0.78,0.66,0.61,0.32,0.99,0,0.21,0.7,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,Training_32775510.csv 
0.875,0.29,0,0.96,1.56,0,0,0,0.13,0.19,0,0.32,0,0,0,0,0.62,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Training_3286572.csv 
0.875,0.14,0.22,0,1.47,0,0,0.84,0,0,0,0.85,0.42,0,0.58,0.03,0.93,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,Training_32935826.csv 
0.875,0.31,0,0.36,0,0,0,0,0,0.33,0,0.39,0,0.75,0,0.14,0.24,0.47,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,Training_32937411.csv 
0.875,0,0,0.85,0,0,0.34,0,0,0.15,0.21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Training_33131991.csv 
0,1.65,0.99,0.64,0.76,0.06,0,0.07,0,0,0,1.15,1.17,1.08,0,0.29,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,Training_33147622.csv 
0.875,0,0,0,0,0.2,0,0.43,1.68,0,0,0.96,0,0,0.17,0,1.3,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,Training_33162639.csv 
0.975,1.49,0.84,0,0.79,0,0,0.37,0,0,0,0.78,0,1.13,0,0.12,0.24,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,Training_33196238.csv 
0,0.33,0,1.97,0,0.52,1.22,0,0,0.11,0,0.48,0,1.04,0,0.23,0.11,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,Training_33220260.csv 
0.875,0.91,0.38,0,2.47,0.32,0,0,0.42,0,0,0.99,0.01,1.72,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,Training_33238403.csv 
0.875,0,0,0,1.05,0,1.22,0.47,0.91,0.68,0.03,0,0.27,0,0,0.59,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,Training_33267009.csv 
0.875,0,0,0.64,0,0,0.09,0.33,0.55,0.43,0.47,0,0,0.57,0,0.09,0,0.97,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,Training_33289972.csv 
0.025,0,0,0,1.22,0,0,0.27,0.38,0,0,0.8,0,0.66,0,0.39,1.1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,Training_33297389.csv 
0.875,0.66,0,0.14,0.21,0.06,0.84,0.45,1.26,0.37,0.7,0.35,0,0.66,0,0.26,2.25,1.08,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,Training_33311117.csv 
0.875,3.11,0,0.48,0.97,0,0,0.9,1.09,0,0,0,0,0.09,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,Training_33315056.csv 
0.975,0,0,0.21,0,0,0.49,0.12,0,0,0,0.15,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,Training_33377684.csv 
0.925,1.09,0.23,2.07,0.15,1.24,2.33,1.02,0.24,0.22,0.21,0,0,0.87,0,0.38,0.13,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,Training_33449814.csv 
0.975,1.07,0.68,0,0.6,0,0.28,0,2.26,0.62,0,0,1.31,0.54,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,Training_33531102.csv 
0.875,1.12,0.31,0,0.69,0,0.12,0,0,0,0,0,0,0.13,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,Training_33536015.csv 
0.975,0.22,0,0.07,0,0.05,1.93,0.95,0.03,0,0,0.69,0.14,0.97,0.1,0,0.73,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,Training_33644480.csv 
0.975,1.14,0.92,0,2.3,0,0,0,0,0.11,0,0,0.43,0.52,0,0,0,0.42,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Training_33653794.csv 
0.975,0,0,0.69,0,0.84,0.07,0,1,0.42,0,1.11,0.72,1.02,0,0,1.19,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,Training_33888120.csv 
0.875,1.75,0.99,0,2.28,0.19,0,0.36,0.57,1.15,1.43,0,0,0.15,0,0.74,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,Training_33926375.csv 
0.875,0.5,0,0.98,0,1.23,2.26,1.85,1.11,0.01,0.12,0.39,0,0.36,0,0,0,0.09,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,Training_33927374.csv 
0.875,1.42,0.49,0,0.49,0,0.77,0,0,0.57,0.77,0.12,1.38,0.69,0,0.65,0.83,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,Training_33934089.csv 
0.875,1.37,0.92,1.81,0.63,0,0.08,0.02,0,1.27,0.55,0.28,1.51,4.26,0,0.29,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,Training_33939919.csv 
0.875,1.51,1.07,0,3.24,0,0,0,0,0.26,1.36,0,0,0.48,0,0.59,0.5,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,Training_33995098.csv 
0,0.94,0,0.76,1.33,0,0,0,0.58,0,0.02,0,0,1.05,0.06,0,0,0.1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,Training_34019347.csv 
0,0.55,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Training_341092.csv 
0.975,1.61,1.02,0,0.84,0,0,0,0,0,0.59,0.23,0,0,0,0.46,1.01,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,Training_34110226.csv 
0.875,1.89,0,0.74,0.36,0.41,0.77,1.5,2.51,0,1.48,0.19,0.13,0.33,0,0.03,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,Training_3412455.csv 
0,0.37,0,0.43,1.19,0,0,0,0.34,0,0.34,0.08,0.8,0.2,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,Training_34156894.csv 
0.875,1.84,0,1.07,0.14,0,0.63,0,0.17,0.68,0.87,0,0,0.24,0,0.26,0.61,0.76,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,Training_34217865.csv 
0.875,0.07,0.19,0,1.32,0,0,0,0,0,0,0.66,0.67,0.07,0.29,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,Training_34228656.csv 
0.875,1.47,1.06,0.61,1.32,0.01,0,0,0,0,1.42,0,0,0.92,0,0.49,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Training_34250189.csv 
0.875,1.5,0.06,0,0.43,0,2.83,0.87,0.67,0,0.24,0.68,0,0,0,0.18,1.26,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,Training_34328031.csv 
0.875,0.03,0,0,0.46,0.23,0.59,0,0.78,0,0,0.69,1.03,0.14,0.47,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,Training_34358446.csv 
0.975,1.45,0.01,0.53,0.62,1.16,3.38,1.65,0.92,0,0,0.82,0,1.24,0,0,0.24,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,Training_3441831.csv 
0.875,1.24,0.36,0,0.72,0,0.27,0,0.03,0.55,0.19,0.46,0,0,0.2,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Training_34439387.csv 
0.875,0.79,0,0.03,0.69,0.45,1.02,0.32,0,0,0,0.42,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,Training_3445460.csv 
0.875,0.62,0,0,0.49,0,0,0,0,0,0,0,0,0.77,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Training_34529344.csv 
0.875,1.94,0.45,1.28,0.22,0,0,0,0.76,0.06,0.47,0.12,0,2.53,0,0.73,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,Training_34531243.csv 
0.825,0.47,0,0,1.64,0,0.54,0,0.22,0.49,0.09,0,0,1.04,0,0.34,0,0.65,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,Training_34547353.csv 
0.875,1.84,0.12,0.26,0.38,1.45,2.97,0.51,1.15,0.13,0.36,1.25,0.98,0.67,0,0.04,1.31,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,Training_34642216.csv 
0.875,2.42,1.09,0.01,2.09,0,0,0,1.57,0.08,1.93,0.34,0.8,0.68,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,Training_34643753.csv 
0.875,1.18,0.45,0,0.47,0,0.72,0,1.73,0.8,0,0.06,1.3,0.99,0,0.03,0.03,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,Training_34643887.csv 
0.875,0.41,0,1.64,0,0,1.48,0,0,0,0.18,0.93,0.8,1.41,0.17,0,0.58,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,Training_34652895.csv 
0.875,0.13,0.74,0.22,2.62,0.48,2.55,1.53,2.15,0.13,1.1,1.28,0.77,0,0,0.36,0.83,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,Training_34784492.csv 
0.875,1.36,0,0.57,0,0,0,0,0.75,0.89,1.07,0.04,0.61,0.11,0,0.13,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,Training_34829776.csv 
0.875,0.81,0,0.88,1.17,0.11,0.94,0.98,0,0,0,0.53,0.22,0,0,0,1.12,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,Training_3489776.csv 
0.875,1.08,0.11,0,0.55,0,0,0.2,0,0,0,0.55,0,0.07,0,0,0.43,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,Training_35033889.csv 
0.025,0.45,0.64,0,0.03,0,0,0,0,0.3,1.41,0.34,0.06,0,1.52,0,1.25,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,Training_35036431.csv 
0.875,1.23,1.15,0,0.98,0.14,0.71,1.1,1.34,0.35,0.5,0.18,0.8,0.29,0,0,0.85,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,Training_35043199.csv 
0.875,0,0,0,0.61,0,0,0.39,0,0.13,0.14,0.08,0,0.68,0,0.01,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,Training_35094691.csv 
0.875,0,0,0,0,0,2.97,1.23,0,0.57,0,0.08,1.19,1.22,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,Training_35384724.csv 
0.875,0.23,0,1,0,1.23,0,0.23,0.8,0.75,0.36,0.75,0,0.39,0.33,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,Training_3541334.csv 
0.975,0.75,0,0,0.4,0,0,0,0,0,0.28,0,0,0.38,0.07,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,Training_35416870.csv 
0.875,2.02,0.36,0,0.29,0,0,0,0,0.19,0.12,0,0.25,0.01,0.03,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Training_35471107.csv 
0.925,0.42,1.21,0,1.24,0.28,0,0,0,0,0,0,0,0.41,0.36,0,1.24,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,Training_35502772.csv 
0.875,0.42,1.02,0,2.92,0,0,0,0,0,0,0.83,0.46,0.12,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Training_35561713.csv 
0.875,1.02,0,0.32,1.14,0,0,0.01,0,0,0,0.94,0,1.7,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,Training_35683909.csv 
0.975,1.32,0.26,0,0,0,0,0.17,0,0,1.74,0.95,0,0.07,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,Training_35694833.csv 
0.875,0.77,0,0.34,0,0.3,0.26,0.33,1.33,0.14,0,0.18,0,0.23,0,0.2,0,1.45,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,Training_3573297.csv 
0.475,0,0.05,0.7,0,0,0,0.78,0.59,0,1.03,0,0.91,0.44,0,0.09,0.66,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,Training_35738272.csv 
0.875,1.09,0,0.22,0.76,0.81,0,0,0,0.61,1.67,0.98,0.67,1.1,0.77,0.7,0,1.29,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,Training_35749280.csv 
0,0.15,0,0,0.01,0,0,0,0,0.2,0,0.14,0,0,0.08,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,Training_35907969.csv 
0.875,0,0,1.44,0,0.67,1.96,0.41,0,0.24,0,0.37,0,0.75,0,0,0,1.14,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,Training_35965253.csv 
0.875,1.34,0.35,0,0.84,0,1.02,0,0,0.47,0.72,0.36,1.35,0.61,0,0.68,0.53,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,Training_35981186.csv 
0.875,0,0.2,0.12,0,0,0.08,0,0,0.99,0,0,0.34,0,0.14,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,Training_35990420.csv 
0.025,0.93,0.29,0,3.43,0,0,0.78,0.33,0,1.66,0.89,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,Training_36104390.csv 
0.825,0.16,0,0,0.43,0,0,0,0,0,0,0.51,0,0.81,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,Training_36109064.csv 
0.875,1.05,0.37,0,0,0,0,0,0,0,0.24,0,0,0.35,0.37,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,Training_36145928.csv 
0.975,0.45,0.44,0,2.69,0.35,1.18,0,0.03,1.44,0.09,0.69,0.62,0.79,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,Training_3619277.csv 
0.875,0.16,0,0.3,0,0.08,0.12,0,0,0,0,0.23,0,0.45,0,0.11,1.37,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,Training_36376461.csv 
0.875,0.83,0,2.04,0,0,0.04,0,1.3,0.46,1.75,0.51,0.6,1.48,0.01,0,0,0.51,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,Training_36377111.csv 
0.875,1.61,0.15,0.22,0.21,0,0,0,0,0.28,0.59,0,0,0.03,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Training_36380090.csv 
0.875,0,0,0.15,0.37,0,0,0,0,0.46,0.26,0,0,0.26,0,0,0.33,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Training_36392213.csv 
0,0.63,0,0.29,2.05,0,0,0,0.05,0,0.24,0.22,0.59,0,0,0,0,0.01,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,Training_36393037.csv 
0.875,1.32,0.98,0,3.23,0,0,0,0,0,0.58,0.03,0.11,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Training_36409241.csv 
0.875,0.89,0.3,0.83,0,0,0,0,0,0,0,0.45,0,0,0,0,1.46,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,Training_36449368.csv 
0.975,1.13,0.27,0,1.86,0,0,0,0,0,0,0.98,0,0.49,0.25,0.17,0.63,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,Training_36501869.csv 
0.675,0.08,0,0,0.17,0,0,0,0,0,0.03,0.04,0,0.14,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,Training_36569562.csv 
